Content,Date,Language,Location,Number of Likes,Number of Retweets,In Reply To,Author Name,Author Description,Author Statuses Count,Author Favourites Count,Author Friends Count,Author Followers Count,Author Listed Count,Author Verified,Author
"@MaajidNawaz @JoeBiden When I've pressed many Biden supports to positive affirmations for why they support Biden rather than Trump the ""lesser of two evil"" is almost the universal response, and has been since the primaries.",22/10/2020 9:54,en,,0,0,@MaajidNawaz,Bork! Bork! 🇭🇰,I am me and no one else.,9386,36719,216,73,0,FALSE,@farflungdung1
"@MaajidNawaz @jhgr81 @JoeBiden Why should he answer you anyway? It’s a smear, he’s treating it with dignity. As I say, look at the people pushing it, Trump and his family, Giuliani, Bannon, none of them honest, all of them desperately trying to save Trump from humiliation.",22/10/2020 9:57,en,,1,0,@MaajidNawaz,PeteMilford,"Proud Paignton boy (bit Welsh), European. I live in beautiful Devon. I despise Brexit & trashing of our democracy. Proud Gulls fan! #BanTheSun #FBCoalition2024",40909,131384,3769,3953,30,FALSE,@gullssinceaboy
"@MaajidNawaz I don't think Biden is the presidential candidate we should be focusing on. The vote is essentially an anti Trump vote. Biden was considered most likely to pull over floating republicans but Harris is probably going to be pulling a lot of the strings.

Judge her as you will.",22/10/2020 10:05,en,,0,0,@MaajidNawaz,Persona Non Grata.,"I must stop saying 
""Isn't that what you voted for?""",6940,7815,287,107,1,FALSE,@Persona735
@MaajidNawaz More accurate - A lesson in Twitter personalities not doing their homework and becoming useful idiots for the Trump Campaign and the sanctioned Russian agent Andrii Derkach.,22/10/2020 9:56,en,,0,0,@MaajidNawaz,ConorK,,2232,0,811,46,1,FALSE,@ConorKDublin
"@MaajidNawaz Only if Trump wins. If he doesn't, the lesson will be that the memory hole is real and the truth is what the Media and Big Tech decides it is.",22/10/2020 9:50,en,,4,0,@MaajidNawaz,New Westphalian,Wrong and right in equal measure. Get a bit punchy on here sometimes. Take no notice - I'm a bit nuts,23035,4361,601,1111,10,FALSE,@New_Westphalian
@MaajidNawaz What special qualities did Hunter Biden possess to make him so valuable to his employer in Ukraine that they would pay him so much money? Is he an industry leading expert in the gas sector? I can’t quite put my finger on it...,22/10/2020 9:50,en,,2,1,@MaajidNawaz,𝗧𝗵𝗲 𝗣𝗲𝗼𝗽𝗹𝗲’𝘀 𝗟𝘂𝘀𝗵𝗟𝗶𝗳𝗲 𝗤𝗖 🔝,𝗣𝗹𝗮𝘆𝘀 𝗵𝗼𝗿𝗿𝗶𝗯𝗹𝗲 𝘁𝗲𝗻𝗻𝗶𝘀 𝗮𝗻𝗱 𝗲𝘃𝗲𝗻 𝘄𝗼𝗿𝘀𝗲 𝗯𝗶𝗹𝗹𝗶𝗮𝗿𝗱𝘀.,38108,3845,120,371,9,FALSE,@GentlemanLondon
"@MadCatTWV @Meguito1 @MillerinDc @realDonaldTrump Exactly. I don't get it that their excuse is ""Bill Clinton did it also"" ???

So if Trump killed someone their answer will be ""Dhamer did it also""

????????",22/10/2020 10:01,en,,0,0,@MadCatTWV,RoyBatty,Be the change that you wish to see in the world - Gandhi,2993,841,23,25,0,FALSE,@VoDie23
"@MaddowBlog It's just trump directing his minions to do the usual 'squirrel!' crap.

The size of the squirrel depends on the severity of danger posed to trump.

This 'breaking into your usual programming' is a particularly big squirrel. I'm thinking Chinese bank accounts?",22/10/2020 10:04,en,,0,0,@MaddowBlog,Stewie,#RESIST That's the only legitimate response to trump. That and snark. And some levity. #FBR (♀ btw),27289,92855,4851,4763,8,FALSE,@Stewie0
"@MaddowBlog Racliff life for trump, they all are corrupt and We must Vote them all out.",22/10/2020 10:10,en,,0,0,@MaddowBlog,Maw Maw,General News Politics History Weather,55909,185853,401,993,8,FALSE,@mawmaw1158
@MaddowBlog Spoofed message from proud boys telling you to vote for trump is supposed to not be aimed to help a particular figure?  C’mon man!,22/10/2020 9:59,en,,0,0,@MaddowBlog,Vote like your life depends on it.,"ISO diners, delis and joints. Barbecuer extraordinaire. Dreaming of beaches. Author of ""Vermont Covered Bridges Travelers Guide"" & ""Rail U.S.A. Museums & Trips""",26118,3301,711,248,10,FALSE,@EricRiback
"@Malinowski @swbrindle - Time to take a stand
Hunter biz partner confirms e-mail, details Joe Biden's push to make millions from China: Goodwin https://t.co/g0F8QY1GLk via @nypost",22/10/2020 10:03,en,,0,0,@Malinowski,Shew,,1335,1997,152,12,1,FALSE,@ShewDawg
@MallinenMatti If Trump is not on drugs he should be #TrumpIsANationalDisgrace,22/10/2020 10:07,en,,0,0,@MallinenMatti,michiganmanUSA,Made in Detroit Pro Labor Democrat Anyone but Trump scotch drinker I swear sometimes no dm’s please #resistance #StayHome #equaljusticeforall #BLM #WearAMask,8287,2816,1017,680,3,FALSE,@notrustyanymore
"@Mamagrainn @Freethinking24 @TrumpWarRoom @RyanAFournier like I said your points are irrelevant to this gentlemen who has been released by Trumps administration due to Biden's harsh Crime Bill which stripped away his life, you cannot take back the past, this person would have been assed before release to determine",22/10/2020 9:52,en,,0,0,@Mamagrainn,jordan De Guzman,"My Dad died a hero, Sniper/General fighting against Communism/Marxism, they murdered my Dad in broad daylight - I was 2yo, I FIGHT FOR HIS LEGACY! UNDER GOD!",587,393,54,14,0,FALSE,@jordanD99131467
"@MarcACaputo Biden is a tender, kind person. I miss it in our leadership.",22/10/2020 10:09,en,,0,0,@MarcACaputo,David Marko,,6368,2067,1906,1285,0,FALSE,@DavidMarkoMiami
@MarcyLane The projection because Trump has said such disgustingly sexual things about his own daughter. It's always projection.,22/10/2020 10:10,en,,0,0,@MarcyLane,Carol Thee Spookiest Horse Imaginable🐎👻,#blacklivesmatter,65952,21799,80,154,3,FALSE,@shimchangmin
"@MardyGoth Seems to be the same thing in the States with Trump.

A huge amount of Democrats voters hated Hilary so they voted for Trump without actually supporting him.

And even now, some traditional Democrat voters are saying their party is not the same so they're voting Trump.",22/10/2020 9:58,en,,1,0,@MardyGoth,Iain Crawford🃏,#bestGaryNumanSong                     #bestBobDylanSong next             #bestNeilYoungSong after that,78893,432519,4972,4116,45,FALSE,@icrawford17
@MariaBartiromo @MorningsMaria @FoxBusiness @JHLowellAdviser @BobCusack @RepMichaelWaltz @JMcLaughlinSTK @ERShares @MarkTepperSWP @SusanPage @SecondLady @Monster @SenTedCruz @RepCuellar @RepMarkWalker @DonaldJTrumpJr @HerschelWalker You should focus on Ivanka's Chinese trademarks and how she and Jared made millions grifting from the West Wing. Oh and ask about Trump's Chinese Bank account and his taxes.,22/10/2020 10:07,en,,0,0,@MariaBartiromo,JaX,Democracy dies in Darkness. The Trump Crime Family will be indicted.,5265,21412,1047,111,1,FALSE,@JackDanielsDem
@MarkBurnettTV trump simps are gross and should follow quibis footsteps,22/10/2020 10:06,en,,0,0,@MarkBurnettTV,casualcollapse,🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹,1458,383,159,18,0,FALSE,@casualcollapse
@MarkLeeInSF @PoliticsReid @neal_katyal Like Nancy Pelosi getting her hair done when the rest of California salons were not permitted to be open because of the “welfare of others?” Only difference is she hates Trump. So it appears neither side cares 😘,22/10/2020 10:08,en,,0,0,@MarkLeeInSF,Jennifer Orgill,,100,499,58,2,0,FALSE,@Jjbeeal0426
"@MarkRuffalo @prattprattpratt This is what's revealed when the mask of equality and diversity slips, Mark. This hypocrisy is why people are walking away from the left. It's a sham. This is why they vote for Trump.",22/10/2020 10:08,en,,0,0,@MarkRuffalo,Paula Wright,"MSc student studying evolution. Also an actress, writer, comic, cartoonist and an #aspie. Renaissance Woman.",1113,16245,794,10621,166,FALSE,@SexyIsntSexist
@MarkSimoneNY shouldn't Joe Biden denounce efforts by iran to influence the election,22/10/2020 9:57,en,,0,0,@MarkSimoneNY,Michael,,236,98,59,35,0,FALSE,@mike11342
"@Markcam28193301 @murray_nyc @RepAdamSchiff Hello
Trump Russia?
Prison awaits you!
Click, slam, lock!",22/10/2020 10:06,en,,0,0,@Markcam28193301,Eric Price,,563,225,96,13,0,FALSE,@EricPri39940772
@MarkieJP You don’t care about hunter biden and pictures of minors on his computer either ? Hmm interesting..,22/10/2020 9:50,en,,0,0,@MarkieJP,kent,,49,4,47,18,0,FALSE,@howellkj7
"@Marktil1968 @BBCNews @itvnews @SkyNews Interesting how Twitter &amp; various media outlets spin it.

1/ Biden news w/ SERIOUS allegations re: China/bribes gets hidden/blocked or ignored.
2/ Irrelevant Trump news re: empty bank account spun out.
3/ Guliani ""news"" suddenly appears – total fabrication, hit piece.

Info war.",22/10/2020 10:06,en,,1,0,@Marktil1968,Luke,"""Regrets, I've had a few. But then again, too few to mention."" #Permaculture #Rewilding #Foraging #Investing @Ripple $XTZ #xxNetwork #Uranium #Nuclear $XRP",7023,3984,339,641,65,FALSE,@thinlyspread_
@Marktil1968 @BBCNews @itvnews @SkyNews There is no scandal. It's invented. Durham came up empty handed with his investigation so Stone and Giuliani have gone all in on this nonsense. It's reasonable to assume anything potentially damaging 'found' on Hunter Biden's Hard Drive has been concocted by Roger Stone.,22/10/2020 9:58,en,,0,0,@Marktil1968,Sgt. Donny Donowitz,Bear Jew,2621,2396,1156,451,7,FALSE,@SgtDDonowitz
@MarshaBlackburn They won’t give Trump the relief package until after the election,22/10/2020 9:52,en,,0,0,@MarshaBlackburn,barry rosenberg,,474,402,1392,76,0,FALSE,@slowburnbikes
@MarthaAldridge1 @dmills3710 @BillGates @POTUS I thought Trump was pushing for the vaccine out before 3th Nov? People are really sick from the trials no one wants his damn vaccine,22/10/2020 9:52,en,,0,0,@MarthaAldridge1,Margaret Gilbert,"I'm a newly awake, Redpilled, Christian. my heart goes out to the sick, children and poor in these times, please be kind uplift, encourage oneanother.x",3685,2640,135,358,1,FALSE,@Margare86411004
"@MarthaKoester vote for whomever you wish, 
ur missing my POINT, voting for Biden is a wasted vote in ca, voting for green is not to win this election but to reach 5% which could easily be done if people had brains and understood how voting works and electoral system",22/10/2020 9:59,en,,0,0,@MarthaKoester,Green New Deal M4A Progressive/Humanist,"""the greatness of a nation and its moral progress can be judged by the way its animals are treated.""~Gandhi #GND #MFA Debloat MIC/TaxCorps #Evolve #BLM #Navajo",32214,48886,5000,1874,3,FALSE,@SchwarzenbergLV
"@Maryland401k @hbryant42 You seem to know what the people care about, so you say. Why is Trump about to lose his election? That is, if things are going so well and all.",22/10/2020 10:07,en,,0,0,@Maryland401k,Perceptive Thoughts,,5111,2493,957,43,0,FALSE,@Mavrik2190
"@Mask_Wearer_ @FoxNews Did someone say Rudy Giuliani?
https://t.co/IyRq7Z69z5",22/10/2020 10:07,en,,0,0,@Mask_Wearer_,Ridin' with Biden-Harris! 🌎🇺🇸🐶,It's go time! Let's do this! Go to https://t.co/IxPpDbFTOP #Vote #VoteEarly #BidenHarris2020,945,8266,4715,254,0,FALSE,@v0te_biden
@MasonPollet @realDonaldTrump @BreitbartNews Ivanka Trump must answer questions about her patents from China. Don Jr. &amp; Eric must answer questions about soliciting foreign governments for money to gain access to the President. Jarod Kushner must answer questions about his joint bank account with his father in Israel.🦅🇺🇸,22/10/2020 9:57,en,,1,0,@MasonPollet,Mark Amey,,2429,4,0,0,0,FALSE,@MarkAmey6
@MattGroum @JoeBiden @MattGroum nothing happens before it's time. This is Joe Biden moment.,22/10/2020 10:11,en,CA,0,0,@MattGroum,carrigan mc queen,minor things are worth celebrating,12447,9691,238,145,1,FALSE,@kc_ery
"@MatthewTyrmand @RudyGiuliani All this Joe Biden and Hunter corruption will be swept under the rug

Joe says it's debunked even though director of national intelligence Ratcliffe says laptop ""is not Russian disinformation""

The left controls MSM/big tech/swamp so they control narrative",22/10/2020 10:11,en,,0,0,@MatthewTyrmand,Clay Jones,Here for Trump. Dems are existential threat,873,1500,122,18,0,FALSE,@ClayJon71105147
@MaxLWright @gooddayout @ladbible Imagine brushing off the corruption of the Biden's like its nothing.,22/10/2020 10:02,en,,0,0,@MaxLWright,Laughing Dog,,25330,953,186,122,8,FALSE,@liberalsnowflak
@MayorTarantino @realDonaldTrump ....educate urself brother....Obama inherited an economy that was run into the ground by the Bush administration....he brought back the economy n countless millions of jobs...Trump inherited this economy n is running it into the ground...think about it...,22/10/2020 10:10,en,,0,0,@MayorTarantino,Spotted gypsy,,1397,9,3,0,0,FALSE,@GypsySpotted
@MayorTarantino @realDonaldTrump It seems to me that to be a trump supporter you just need to believe his lies over the truth. The whole world is wrong and trumps is right. America is doomed.,22/10/2020 9:52,en,,0,0,@MayorTarantino,NoReMoRsE,,2,0,24,0,0,FALSE,@NoReMoR34151158
"@MayorTarantino @realDonaldTrump Such a pity that an adult is still illiterate and unable to understand simple statistics. Heriting an enormous deficit, a crash and an extremely weak economy from the republicans, Obama created more jobs than Trump and had the same GDP increase as Trump. https://t.co/UqtmKgaHtO",22/10/2020 10:10,en,,0,0,@MayorTarantino,Erwin Ebermann,Scientist,395,220,4,5,0,FALSE,@ErwinE1803
"@McFaul @marcthiessen Biden must reply to Trump’s continued assault on his son with pure indignation. 

Call him out for what he is; a cheap peddler of conspiracy theories that are all lies. 

State his own sense of decency in not bringing into the race Trump’s own nepotism mooching disgraceful kids.",22/10/2020 10:00,en,,0,0,@McFaul,bruce skop,,4380,1061,288,44,1,FALSE,@bruceskop
"@MdelaSoledad90 His voice, as well as Biden’s and Hillary’s instantly raises my blood pressure 😂",22/10/2020 9:50,en,,0,0,@MdelaSoledad90,🗽Red Pill Papa ✝️🇺🇸💯,"I believe we have entered the twilight zone! Husband to a beauty, Father of 7, hard working bastard!! #saynotomarxism #saynotosocialism #saynotocommunism #KAG Q",2806,4776,4316,2526,0,FALSE,@bladestorm70
"@MegWhitman @JoeBiden @KamalaHarris Joe &amp; Kamala, there are rumors that @MegWhitman is being vetted for a Cabinet position in a potential Biden-Harris Administration. Don’t. Quibi is one of a long line of companies that have imploded with her in charge. #MegWhitmanIsAMORON!!!! https://t.co/nPSsXm6kTZ",22/10/2020 10:11,en,US,0,0,@MegWhitman,RICHARD W.,Wheelchair User with Cerebral Palsy,58993,40123,4932,2344,338,FALSE,@rwwonwheels
"@MeghanMcCain Biden was one of the imbecilic promoters of the Iraq War.  What kind of ""compassion"" does Biden really have?",22/10/2020 9:56,en,,0,0,@MeghanMcCain,Jon Adams' Purity Test,"From Clyde, Ohio/veteran of US Navy, Virginia Army National Guard/ Iraq War Veteran(all time marked from 2004)/ mathematics/organic gardening/house restoration/",64960,9261,618,715,20,FALSE,@jonsherred
"@MeghanMcCain There are countless stories of the kindness of Joe Biden when no one is watching. Letters sent, phone calls made, empathetic gestures. Those are the measure of a person.  He for sure has this swing state voter’s vote.",22/10/2020 10:09,en,,0,0,@MeghanMcCain,Amylynne,,8206,11456,209,271,2,FALSE,@Amylostat40
@MeghanMcCain This is hell to those children and their parents. This is hell for us who allowed our government to commit this atrocity. Vote for Biden to put an end to his inhumanity,22/10/2020 9:58,en,,0,0,@MeghanMcCain,cafael Lasin,“Republicans are the enemy of the good.”,11611,15569,1302,191,0,FALSE,@cafael1
"@MeghanMcCain Trump has shown great empathy and compassion throughout his tenure, but the MSM and the RINOs won’t acknowledge it.",22/10/2020 10:05,en,,0,0,@MeghanMcCain,Alan Bryan🎸🎷🇺🇸🙏,"Christian, husband, dad, teacher, student, leader, follower, guitar and sax hack, pizza and BBQ fanatic. USAF Security Forces veteran.",18312,7099,1413,668,8,FALSE,@AlanBryan7
@MeidasNoly @CNN @StCollinson THE REAL PREDIDENT IS TRUMP NOT CORRUPT OBOMA,22/10/2020 9:58,en,,0,0,@MeidasNoly,DIEULOR KABEYA,I LOVE MY SELF,308,37,62,3,0,FALSE,@DieulorK
"@MelissaAmour72 He only broke his silence during the Obama administration to defend a Mosque.

But if you watch his Covid address it is difficult to read it as anything other than a subtweet of Trump.

https://t.co/2LpJtGRU7M",22/10/2020 10:08,en,,0,0,@MelissaAmour72,⛵What If Brigade 🏴‍☠️🎲,"Albatross outdoors.  Hiking, boating, animals, martial arts.  Maybe with some anime & role-playing games from time to time.",4210,22102,456,166,0,FALSE,@BrigadeIf
"@Mellecon And that’s just the tip of the iceberg. The media is the same in many ways. I’m not naive enough to say Biden winning carries no risk, but I don’t the left at large understands the danger of being so anti one person, and then actually getting your wish. It carries massive costs.",22/10/2020 10:10,en,,1,0,@Mellecon,Richard Mozham,"I encourage cynicism about politics, and optimism about life.",8692,56964,136,139,0,FALSE,@RichardMozham
@Mellecon The confidence of these people that Biden is going to win is truly something to behold,22/10/2020 9:58,en,,1,0,@Mellecon,Jason Conley,Capitalist. Curmudgeon. Patriot. Skeptic. My Aim Is True.,37384,21035,410,257,10,FALSE,@skeptic74
@Mellecon We won’t accept a Biden victory don’t worry.,22/10/2020 10:06,en,,1,0,@Mellecon,Corrupt Gentlemen ClothingCo.,Piece of shit humans that DO NOT lie to themselves. We embrace the fuck out of it! Come as you are and have tough skin. We'll be your guilty pleasure.,1035,674,962,2050,0,FALSE,@corruptgents
"@Mellecon Well, except for I doubt Biden is even there by this time next year.",22/10/2020 10:06,en,,1,0,@Mellecon,"Kieran, Joe Biden's Tapioca Dealer","Pro-Malarky
中国很烂",80187,48304,381,532,7,FALSE,@KieranEleison
@MeltdownMinute @MSNBC Where do we start? About how legal it is and how common it is for a business man of his stature to have similar dealings with China? What about Biden and Burisma? Oh that’s right... can’t cover that. AT ALL!,22/10/2020 10:10,en,,0,0,@MeltdownMinute,The_Final_Trumpet,"I'm an angry conservative.  Yes, I'm probably going to upset you.  And yes, I don't care.  #MAGA2020 #Trump2020  #LiberalismIsAMentalDisorder",859,78,244,15,0,FALSE,@trumpet_final
"@Metalivy74 That’s why she doesn’t like Trump, she’s got a PHD, Player Hater Degree",22/10/2020 9:54,en,,0,0,@Metalivy74,Anthony Soprano,I fuck with the Mets and the Cowboys even though they fuck with my heart,5764,3213,2084,861,1,FALSE,@casmith3128
@Mhogan1943 @NBCNews Did you know a President can pardon a person before indictment?  Ford did it with Nixon.  After the election Trump may pardon a lot of folks including himself.,22/10/2020 10:11,en,,0,0,@Mhogan1943,craig walrath,Member of the Mafia Don Resistance,34563,11240,4976,2267,0,FALSE,@craigwalrath571
"@MiamiHerald Mr.President if You Love Us Seniors then, Why Threaten Our Social Security Pensions with a Reduction in Payroll Taxes. Why Try to End PEC. Why after 4 years No Trump Healthcare. Why you Not Insist That your Followers Wear Masks to Protect Seniors. Why No EIP to help Seniors.lies",22/10/2020 10:08,en,,0,0,@MiamiHerald,kevin stokes,,7955,1253,275,69,0,FALSE,@kebinbali
"@Michael08483429 @mirandadevine @jbyrne183 Do you not remember 2016, the polls are bogus, Trump will win 270+ electoral collage seats. Voter registration  for the Republicans is through the roof, much more than 2016",22/10/2020 9:54,en,,1,0,@Michael08483429,James Matthews 🏅🇭🇲🌶,"Ex Army (RAR), Father, Husband, 
Libertarian, and Patriot.
Tobacco Harm Reduction 

(Starting Again)",827,346,150,58,0,FALSE,@JamesMA075
@MichaelAOShea @Aya62335284 @CryptoJamesG @ConceptualJames The Title IX destruction of due process and presumption of innocence in the name of wokeness occurred under Biden’s vice presidency,22/10/2020 10:04,en,,1,0,@MichaelAOShea,Antisocial Justice,Pronouns. Semibisexual/Bisemisexual. Gaming Disorder. Identify as a リア充. #GamerGate Don’t hurt me I have a buff daughter. 2+2=4. boop/bop/beep.,52235,408142,3156,4911,41,FALSE,@AntisocialJW2
"@MichaelCohen212 based on #Disloyal and your telling of Trump loathing of Pres. @BarackObama, I’m 100% certain the drive-in rally last evening had Agent Orange foaming like a rabid animal 😂😂😂",22/10/2020 10:07,en,,0,0,@MichaelCohen212,The Veebs,"Vet, Gamer, Patriot, Ally, Progressive, Houston Rockets, Buffalo Bills.",509,3249,360,33,0,FALSE,@xVBx13
@MichaelT_45 @MomSeeker Hahaha. That's why Michelle's fantasy's are now of Trump. I think it's the hair?,22/10/2020 10:09,en,,0,0,@MichaelT_45,Stuart Pope,"Father, Professional Golfer, Educated Australian. Trump supporting Christian Family living in the USA. @realdonaltrump @tigerwoods @realjameswoods #Christianity",388,551,132,41,0,FALSE,@StuartPope9
"@MichaelTanuvasa My own black mother told me that “nothing really changes besides who is at the top”. 

She did vote yesterday...but idk how she voted. Either for Biden or left the president box blank.",22/10/2020 9:57,en,,1,0,@MichaelTanuvasa,"AJ ""You Ain't Black"" VOTED! #LeaveMeAlone","Views and thoughts are my own and not by my employer. Lover of games such as Kingdom Hearts, LOZ, Mario, and DFFOO.",14357,39540,2203,2386,13,FALSE,@BlackFLLefty
@MichaelTanuvasa That would be 5 votes in the Biden-Harris column and all Democrats down-ballot and support for the candidates standing for election in non-partisan races with a proven history of progressive-liberal-social-democracy leanings. Then the real work of holding all those feet to the...,22/10/2020 10:05,en,,0,0,@jpe33180,Jim Ehlen,"Native of Cali - SFV now residing in Miami
Liberal-Progressive wondering where/when our country lost its way",29902,119,6663,6350,65,FALSE,@jpe33180
@Michael_HLO Biden is not using any deceptive propaganda.,22/10/2020 9:58,en,,0,0,@Michael_HLO,matthew schw,"Fun, funny, sexy, spry, spruce, comedic, philosophical and single fun-loving guy who is looking to always learn some new tricks.",37615,37459,201,191,4,FALSE,@MatthewSchw
@MichelleKinney @1PhoebeJTonkin While Trump mocks disabled people and gets them kicked out of his rallies.,22/10/2020 10:10,en,,0,0,@MichelleKinney,syoyo,cali life okkkurrr,2089,45578,105,82,0,FALSE,@syonakay
"@MichelleKinney I always say to those who try to say Joe is a pedophile that he’s just huggy, not rapey like Trump. Case in point!",22/10/2020 10:02,en,,0,0,@MichelleKinney,Marianne آرزو 🌊📎🐉 🇺🇸🇵🇦🇳🇱🏳️‍🌈,"Drawn to beauty of humanity & the struggle against its ugliness. Progressive, mother, immigrant, free thinker. Dutch-American via Panama. Scientist’s daughter",490982,77749,6380,7147,375,FALSE,@Mwforhr
"@MichelleKinney I did see Trump look at Barron with something other than indifference once. 

I think.",22/10/2020 10:10,en,,0,0,@MichelleKinney,Jake481,Just a guy,1140,1093,155,18,0,FALSE,@Jake_AstroJet
@MichelleKinney I just can’t believe that there are certain trump supporters out there who think this kind of affection is wrong. This is beautiful.,22/10/2020 9:57,en,,0,0,@MichelleKinney,Advent Fire,"Im a Navy Vet, VA hospital volunteer, multiplatform console gamer. Im not perfect. I speak only for me. My opinions are my own. Not Dem or GOP but Im anti-trump",17114,3508,218,59,1,FALSE,@1GrumpyOldGamer
@MichelleKinney I love this!  Such a decent man!  I doubt if Trump ever did that with any of his children honestly,22/10/2020 10:00,en,,0,0,@MichelleKinney,lisa bishop,just living life,402,875,211,43,0,FALSE,@lmbishop256
@MichelleKinney That’s so amazing thank you Mr.Biden,22/10/2020 10:10,en,,0,0,@MichelleKinney,Valerie Macalush,"I’m a very easy going,,and a mother of three and and a nana of 11  beautiful babies,,and I’m disabled",2091,11864,495,73,0,FALSE,@ValerieMacalush
"@MichelleKinney There was a report in WaPo yesterday on Trump voters. Several said ""I just haven't seen a reason to vote for Biden"". Some said they were afraid of extreme leftist socialism. Others asks about Joe's efficacy. 

But politics starts with human connections. 

It's how change happens.",22/10/2020 10:01,en,,0,0,@MichelleKinney,Tom Harrison,"Our democracy is threatened by Fox, a cynical Republican Party, Trump, and their cult-like followers. All people of conscience must vote for Biden!  Vote!",3310,8005,328,309,15,FALSE,@tomharrisonjr
@Michelle_ago @Andy Trump has never run scared!  The only person running is hiding joe!!!,22/10/2020 10:09,en,,0,0,@Michelle_ago,Lvitale,,854,2750,276,13,0,FALSE,@Lvitale9
"@MikeBacon65 @MaajidNawaz Ha. Zero credibility NYT has made another exposé, without any evidence, just in time for the election. Distraction? 

How convenient! So they aren't bothering to investigate the biden story then? Some journalist 

🧐🤡🤢",22/10/2020 9:57,en,,0,0,@MikeBacon65,Robert Russell,"Come on the jam tarts
Heart of Midlothian FC ❤️
University of Edinburgh
Marketing student
Love business",3496,6976,1115,353,1,FALSE,@Robert72060225
@MikeCarlton01 @TheKennyDevine She is absent minded when it comes to the Trump kids fleecing the New York charity.,22/10/2020 10:06,en,,0,0,@MikeCarlton01,Agent Arioch [Umbra] ✨,Pareidolia....could be a guiding light. #Cryptanalyst,183988,150585,4113,2338,117,FALSE,@the_LoungeFly
"@MikeCulpeper @Chrispc4U @thehill How about the fact that the story above was completely unsubstantiated? 

Nuance is devoid in the current culture war.... that’s the issue.

“Accuracy”?

Don’t you want a bipartisan media?

What you’ve got is unacceptable

Lies! 

Trump is a narcissistic buffoon

You need him",22/10/2020 10:10,en,,0,0,@MikeCulpeper,Richard,Not a person that hides in an echo chamber and espouses the regurgitated propaganda of identity politics. People need to think for themselves. Anti Hypocrisy.,12572,5737,1746,330,4,FALSE,@RichardDeKoch1
@MikeCulpeper @RichardDeKoch1 @thehill I don’t know who needs to hear this but hunter biden is not running for President.,22/10/2020 10:11,en,,0,0,@MikeCulpeper,Tim McGrawl,Ex-Republican. Grandfather of 5.,140,100,67,13,0,FALSE,@TMcgrawl
"@MikeLoveOFCL did it right, that’s a fact! If it were left to @BrianWilsonLive &amp; @ALANJARDINE you’d never see @TheBeachBoys live again! Thank god Mike, the official voice of the beach boys, keeps the music alive https://t.co/RARfOnzQ35",22/10/2020 9:58,en,,0,0,@MikeLoveOFCL,Ryan Dally,The Quintessential Aussie - Iron Ryan 🇦🇺,7190,6489,1395,263,8,FALSE,@Ryandally08
"@MikeSington That book represents the #Trump presidency.  
It will be in his Presidential library.",22/10/2020 9:50,en,,4,0,@MikeSington,enrich12,"Anti-Trump & proud of it; incredulous, angry & determined. Follow me, I'll return the favor.  #FBR (I don't talk about G-d on twitter. Peace)",24658,68557,23374,22342,12,FALSE,@enrich1212
"@MikeStuchbery_ I think your cynically involving the Trump children is unfair. 
The president might not match your ideal of a father, but personal family relationships must remain personal.",22/10/2020 10:06,en,,0,0,@MikeStuchbery_,Dan Scherlis,"I develop health games, working with scientists/clinicians and with developers. My focus is production, and business/market strategy.",8959,8616,914,673,30,FALSE,@Scherlis
"@Mike_Pence @realDonaldTrump Disgusting Trump,who’s a wife cheater, tax avoider, child kidnapper, traitor extortionist and lying, fake COVID19, can have him.. the rest of the country will vote to put @JoeBiden as President of the USA. https://t.co/OFZzIM8REi",22/10/2020 9:56,en,,0,0,@Mike_Pence,BIDEN 4 PRESIDENT🌊🌊,"I’ve been a resister since 2016 our future depends on who we vote into office, my choice is awesome Joe Biden, is a man with vision and results!🌊 NO DM’S. 😊",54327,44055,4431,4601,22,FALSE,@BellaRisttaa
@Mike_Pence Biden goes to church while Trump cheats on his wives,22/10/2020 10:01,en,,0,0,@Mike_Pence,🌊🌊 Dan Cotterell 🌊🌊,#BlackLivesMatter #Pride #DefeatTrump #Vote2020 #CountryOverParty #WearAMask #Resister,3119,12798,243,118,0,FALSE,@Liberty4USANow
"@MileyCyrus Ask⭐️YOUNG Voters to go the polls

Ask them to VOTE Early

Vote Joe Biden",22/10/2020 10:10,en,,0,0,@MileyCyrus,DavidCascio,"Founder/Creator of Television Acting Studios
Our craft and our creativity is based on a positive environment. No judgements just learning and growing in Acting",761,30,22,2,0,FALSE,@DavidCascio4
"@MillerinDc @hodgetwins I mean Biden claimed to have a high I.Q., but it came out he was actually one of the worst in his class LMAO. https://t.co/uyOCeXchPs",22/10/2020 10:00,en,,0,0,@MillerinDc,Earl,University of Michigan Alum 〽️ Roman Catholic: Jesus Christ is my Lord and Savior: Conservative: Patriot: USA lover: Supporter of our great military.,2979,2466,485,129,1,FALSE,@scearl58
